"","LASSO","Ridge","Elastic","Unpenalized","sparsity","prop_small","num_obs"
"7386",1.62949956810413,1.9689030634691,1.66839372814394,2.05979595469582,0.5,0.5,200
"7387",1.42345498818077,1.90925481604474,1.45289499981037,1.8727071713369,0.5,0.5,200
"7388",1.21661741244811,2.00852182942216,1.27458695227441,2.31778034602306,0.5,0.5,200
"7389",1.40168070191889,2.02095911581957,1.44958582124661,2.39381301832801,0.5,0.5,200
"7390",1.62046237187664,2.27960087851992,1.68801637905206,2.07847963361014,0.5,0.5,200
"7391",1.41198856961336,1.88818852425592,1.4967809782786,1.7952578254119,0.5,0.5,200
"7392",1.36148133800692,2.10668798996102,1.37392527671348,2.12300088645863,0.5,0.5,200
"7393",1.32985356817725,1.68179323644556,1.31866327178239,2.12164110703218,0.5,0.5,200
"7394",1.36688778222194,1.67973008994486,1.40944763378106,1.65289308742792,0.5,0.5,200
"7395",1.26220073444569,1.82812964547124,1.2943022554794,1.64062412670093,0.5,0.5,200
"7396",1.32871963843819,1.81913842267988,1.33910373280182,1.98146142971208,0.5,0.5,200
"7397",1.33825503893431,1.72130825867814,1.359147592536,1.71192883282627,0.5,0.5,200
"7398",1.36309617972605,2.10736446764014,1.43123748576906,2.22055171420761,0.5,0.5,200
"7399",1.29328628954833,1.81737109684686,1.33550389511935,1.72576608081805,0.5,0.5,200
"7400",1.32326197887832,2.26242117840201,1.561991338987,2.67839238792541,0.5,0.5,200
"7401",1.08458180108385,1.2019726484245,1.09081647297894,1.21817510684137,0.5,0.5,800
"7402",1.03201394196233,1.11909465997581,1.03864281712126,1.08976993193145,0.5,0.5,800
"7403",1.10682064700798,1.2034662538377,1.1136102913101,1.16570267402181,0.5,0.5,800
"7404",1.06249347687184,1.14049497831517,1.06857792928414,1.13563289612394,0.5,0.5,800
"7405",1.05035318077388,1.12688973737433,1.05329558646869,1.12570857413783,0.5,0.5,800
"7406",1.07481584803728,1.16700415641845,1.08535315492409,1.16484204930686,0.5,0.5,800
"7407",1.15612025582294,1.24053364336584,1.16345508083836,1.21739965450813,0.5,0.5,800
"7408",1.14126076637694,1.22079534795087,1.15078952128973,1.16881382544111,0.5,0.5,800
"7409",1.14909384067436,1.23459923681097,1.15236525721197,1.19532557817015,0.5,0.5,800
"7410",1.0779196283957,1.20027598945139,1.08777761969399,1.16786350985257,0.5,0.5,800
"7411",1.05502810224182,1.14414032316313,1.06536615981512,1.11741678397739,0.5,0.5,800
"7412",1.03742008643099,1.1033690300972,1.03980308572135,1.07024617986822,0.5,0.5,800
"7413",1.04210861673116,1.13428615586674,1.04422965638019,1.12957587117443,0.5,0.5,800
"7414",1.19221735242531,1.30932689481919,1.20581944171331,1.28110238603795,0.5,0.5,800
"7415",1.04318820435959,1.13279776969019,1.04943528301441,1.12004774963843,0.5,0.5,800
"7416",1.03443311057726,1.11105130731772,1.04130515207073,1.12976819505615,0.5,0.5,800
"7417",1.11105962357992,1.17869086130855,1.11588521099923,1.14568956258408,0.5,0.5,800
"7418",1.0358955436439,1.12516954906865,1.04348673564326,1.09986631395885,0.5,0.5,800
"7419",1.07147220965541,1.1633166303389,1.08035673631966,1.11671406097074,0.5,0.5,800
"7420",1.03182164515987,1.12763127229285,1.04266614628409,1.12052550548314,0.5,0.5,800
"7421",1.16357311185804,1.24660096190785,1.17024479790138,1.22971609181842,0.5,0.5,800
"7422",1.07425549210523,1.14776178774401,1.07673918287229,1.11899727483362,0.5,0.5,800
"7423",1.15515643004871,1.22993851814363,1.15611088379614,1.18705822364079,0.5,0.5,800
"7424",0.99769909782349,1.09329241043328,1.00554928830916,1.07270358992467,0.5,0.5,800
"7425",1.04665663887379,1.12241369408058,1.0530894111218,1.08578856348054,0.5,0.5,800
"7426",1.11563257609186,1.18560454869444,1.12157715170078,1.18512497678288,0.5,0.5,800
"7427",1.06642262314003,1.15679109707626,1.07172023278427,1.15241652880367,0.5,0.5,800
"7428",1.09701866761451,1.14258211753859,1.09686311726245,1.11797077601252,0.5,0.5,800
"7429",1.07446423135132,1.1349500867397,1.07696189154197,1.15225666688316,0.5,0.5,800
"7430",1.06222196679234,1.15351500385519,1.06843673706947,1.11283464665027,0.5,0.5,800
"7431",1.0888122493467,1.16241348588893,1.0960520512481,1.13319004755132,0.5,0.5,800
"7432",1.12046941769441,1.21314236103192,1.12412788494954,1.20933745330109,0.5,0.5,800
"7433",1.09800167870685,1.22379805223883,1.10855692436052,1.1614176364202,0.5,0.5,800
"7434",1.12086264754558,1.22990502830011,1.12941717880347,1.18302859360714,0.5,0.5,800
"7435",1.11079423632725,1.18496663948048,1.11642679324115,1.15528576516606,0.5,0.5,800
"7436",1.1818042232423,1.24974894627047,1.18750882700093,1.23281318965154,0.5,0.5,800
"7437",1.117378550785,1.20724855164207,1.12407825133268,1.18780584050903,0.5,0.5,800
"7438",1.09586979363356,1.22519481189095,1.10767585099392,1.19333154598634,0.5,0.5,800
